SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
RJ,58165,COMENDADOR LEVY GASPARIAN,40,44.22378080755113,7628,3959,3667,2,0,0,0,2692,0,0,0,2609,0,0,0,0,0,161,636
SE,31658,JAPARATUBA,11,40.5527034800115,13908,7153,6755,1,24,75,821,6126,619,74,66,1940,18,2,1,130,16,247,891
SE,31437,FEIRA NOVA,16,39.79511928610454,5491,2852,2639,1,8,37,320,2874,203,11,22,699,12,1,0,30,2,72,317
CE,13773,CHAVAL,108,41.323034846029174,9872,5081,4791,2,0,0,0,6756,0,0,0,1016,0,0,0,0,0,102,237
AM,2259,COARI,8,39.02535922252917,50320,24515,25804,2,0,0,0,21399,0,0,0,9690,0,0,0,0,0,342,2073
PI,10901,NOVO SANTO ANTÔNIO,47,42.11894496576211,3943,1908,2034,1,6,11,347,2329,75,7,28,345,18,0,0,12,0,37,149
MG,41513,BOM JESUS DA PENHA,195,46.26863490207542,3421,1653,1764,2,0,0,0,657,0,0,0,1627,0,0,0,0,0,89,317
AL,27456,CORURIPE,7,40.21359577182431,38411,19891,18520,2,0,0,0,11098,0,0,0,13819,0,0,0,0,0,464,2239
MG,54119,VARGEM BONITA,220,46.11072813442482,2321,1078,1240,1,1,2,130,481,79,1,11,769,72,0,1,7,0,39,78
PR,76856,MARIA HELENA,142,45.06570796460177,4521,2281,2240,1,169,31,180,1289,117,6,21,1704,79,1,1,18,0,56,177
BA,38571,SANTA CRUZ DA VITÓRIA,29,46.43786220218931,4659,2261,2397,1,14,37,154,1491,90,5,12,751,11,0,0,15,0,45,260
PB,19437,BOA VENTURA,42,42.3174190970835,5006,2533,2473,1,17,71,404,2434,48,3,26,581,12,0,0,11,1,53,317
SP,71072,SÃO PAULO,351,44.35011558055853,133673,72663,60866,2,0,0,0,37799,0,0,0,49857,0,0,0,0,0,3516,12449
